Date,MCP
29/8/2017,2997.95
30/8/2017,2851.07
31/8/2017,2793.72
1/9/2017,2973.4
2/9/2017,2616.24
3/9/2017,2658.73
4/9/2017,3247.07
5/9/2017,3504.84
6/9/2017,3731
7/9/2017,3949.98
8/9/2017,4058.37
9/9/2017,4663.61
10/9/2017,4397.5
11/9/2017,5084.37
12/9/2017,5229.85
13/9/2017,5138.04
14/9/2017,5049.07
15/9/2017,5449.09
16/9/2017,5532.64
17/9/2017,3938.42
18/9/2017,5032.88
19/9/2017,3856.84
20/9/2017,4333.42
21/9/2017,4293.64
22/9/2017,3557.38
23/9/2017,3216.63
24/9/2017,3014.56
25/9/2017,3699.93
26/9/2017,3817.76
27/9/2017,4079.18
28/9/2017,4450.74
29/9/2017,4515.71
30/9/2017,3470.05
1/10/2017,3107.83
2/10/2017,3006.8
3/10/2017,3408.93
4/10/2017,4265.67
5/10/2017,4935.94
6/10/2017,5615.45
7/10/2017,5444.09
8/10/2017,4167.61
9/10/2017,4681
10/10/2017,3922.77
11/10/2017,3942.04
12/10/2017,4292.7
13/10/2017,5216.21
14/10/2017,5053
15/10/2017,4122.85
16/10/2017,5137.44
17/10/2017,5448.66
18/10/2017,4330.23
19/10/2017,3274.29
20/10/2017,2876.71
21/10/2017,2924.98
22/10/2017,2820.52
23/10/2017,3116.35
24/10/2017,3455.6
25/10/2017,3564.55
26/10/2017,4400.02
27/10/2017,5085.44
28/10/2017,3910.6
29/10/2017,3392.01
30/10/2017,3749.06
31/10/2017,3699.29
1/11/2017,2999.02
2/11/2017,3043.84
3/11/2017,3213.98
4/11/2017,3361.03
5/11/2017,2999.93
6/11/2017,3594.08
7/11/2017,3971.68
8/11/2017,4293.12
9/11/2017,4325.36
10/11/2017,4253.19
11/11/2017,4044.02
12/11/2017,3589.92
13/11/2017,4248.2
14/11/2017,4092.34
15/11/2017,3911.38
16/11/2017,3528.84
17/11/2017,3319.22
18/11/2017,3741.96
19/11/2017,3167.31
20/11/2017,3794.73
21/11/2017,3302.99
22/11/2017,3369.07
23/11/2017,3382.24
24/11/2017,3221.07
25/11/2017,3300.12
26/11/2017,2899.44
27/11/2017,3069.81
28/11/2017,3249
29/11/2017,3468.78
30/11/2017,3600.77
